Animal,DOB,Date,Sex,BW,Genotype,pain,trial,data,Housing
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,-5.98,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,-7.98,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,-8.79,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,-14.68,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,-26.41,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,-34.20,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,-37.20,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,-33.21,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,-7.26,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,1.44,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,0.56,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,0.03,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,-0.07,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,-0.19,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,-0.44,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,1.02,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-11.13,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-13.68,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-36.55,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-60.12,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-63.89,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-65.86,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-63.07,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-85.10,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-114.87,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-125.17,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-125.26,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-118.85,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-82.70,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-26.76,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-14.35,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-12.89,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-12.09,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-11.53,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-11.10 gram,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,5.88,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,5.83,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,5.74,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,5.62,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,4.25,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-6.45,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-8.47,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-9.06,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-26.06,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-24.77,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-17.13,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-20.39,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-24.42,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-33.09,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-44.51,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-53.05,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-60.29,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-64.18,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-71.15,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-52.46,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-8.70,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-0.77,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,0.07,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,0.34,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,0.57,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,7.23,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,7.01,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,6.81,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,6.60,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,5.33,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-1.94,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-5.02,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-13.54,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-18.21,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-20.82,normal
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-21.64,normal
