Animal,Date,Sex,BW,Genotype,pain,trial,data
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,-5.98
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,-7.98
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,-8.79
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,-14.68
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,-26.41
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,-34.20
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,-37.20
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,-33.21
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,-7.26
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,1.44
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,0.56
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,0.03
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,-0.07
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,-0.19
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,-0.44
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,1.02
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-11.13
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-13.68
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-36.55
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-60.12
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-63.89
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-65.86
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-63.07
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-85.10
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-114.87
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-125.17
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-125.26
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-118.85
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-82.70
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-26.76
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-14.35
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-12.89
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-12.09
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-11.53
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,-11.10 gram
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,5.88
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,5.83
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,5.74
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,5.62
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,4.25
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-6.45
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-8.47
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-9.06
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-26.06
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-24.77
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-17.13
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-20.39
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-24.42
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-33.09
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-44.51
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-53.05
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-60.29
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-64.18
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-71.15
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-52.46
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-8.70
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,-0.77
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,0.07
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,0.34
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,0.57
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,7.23
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,7.01
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,6.81
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,6.60
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,5.33
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-1.94
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-5.02
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-13.54
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-18.21
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-20.82
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-21.64
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-27.13
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-39.34
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-41.37
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-44.53
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-45.87
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-43.42
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-43.56
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,-26.04
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,2.51
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,4,6.25
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,7.03
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,6.79
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,6.52
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,6.26
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,6.01
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,4.41
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,-6.36
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,-32.82
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,-47.52
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,-47.87
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,-47.04
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,-44.70
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,-34.97
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,-18.14
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,-8.40
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,5,4.81
