Animal,DOB,Date,Sex,BW,Genotype,pain,trial,data,,Housing,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: -5.98 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: -7.98 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: -8.79 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: -14.68 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: -26.41 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: -34.20 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: -37.20 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: -33.21 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: -7.26 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: 1.44 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: 0.56 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: 0.03 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: -0.07 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: -0.19 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: -0.44 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: 1.02 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -11.13 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -13.68 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -36.55 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -60.12 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -63.89 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -65.86 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -63.07 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -85.10 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -114.87 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -125.17 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -125.26 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -118.85 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -82.70 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -26.76 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -14.35 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -12.89 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -12.09 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -11.53 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -11.10 gram,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: 5.88 grams,,normal,,,,,,,,,,,,,
LVM1,DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,3,Reading: 5.83 grams,,normal,,,,,,,,,,,,,
