Animal,Date,Sex,BW,Genotype,pain,trial,data,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: -5.98 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: -7.98 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: -8.79 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: -14.68 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: -26.41 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: -34.20 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: -37.20 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: -33.21 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: -7.26 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: 1.44 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: 0.56 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: 0.03 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: -0.07 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: -0.19 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,1,Reading: -0.44 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: 1.02 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -11.13 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -13.68 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -36.55 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -60.12 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -63.89 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -65.86 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -63.07 grams,,,,,,,,,,,,,,,,
DOB: 11.1.18,11.7.19,M,28.7,C57BL/6,no,2,Reading: -85.10 grams,,,,,,,,,,,,,,,,
