Time,reading,Animal,Date,Sex,BW,Genotype,pain,trial,Housing
989,-2.11,HWM8,8.14.19,M,34.2,C57BL/6,no,1,normal
990,-1.86,HWM8,8.14.19,M,34.2,C57BL/6,no,1,normal
991,-1.69,HWM8,8.14.19,M,34.2,C57BL/6,no,1,normal
992,-1.67,HWM8,8.14.19,M,34.2,C57BL/6,no,1,normal
993,-1.75,HWM8,8.14.19,M,34.2,C57BL/6,no,1,normal
994,-1.96,HWM8,8.14.19,M,34.2,C57BL/6,no,1,normal
995,-2.08,HWM8,8.14.19,M,34.2,C57BL/6,no,1,normal
996,-2.01,HWM8,8.14.19,M,34.2,C57BL/6,no,1,normal
997,-2.05,HWM8,8.14.19,M,34.2,C57BL/6,no,1,normal
998,-2.23,HWM8,8.14.19,M,34.2,C57BL/6,no,1,normal
999,-2.24,HWM8,8.14.19,M,34.2,C57BL/6,no,1,normal
1000,-2.12,HWM8,8.14.19,M,34.2,C57BL/6,no,1,normal
1001,-3.94,HWM8,8.14.19,M,34.2,C57BL/6,no,1,normal
1002,-19.88,HWM8,8.14.19,M,34.2,C57BL/6,no,1,normal
1003,-37.18,HWM8,8.14.19,M,34.2,C57BL/6,no,1,normal
1004,-81.53,HWM8,8.14.19,M,34.2,C57BL/6,no,1,normal
1005,-112.91,HWM8,8.14.19,M,34.2,C57BL/6,no,1,normal
1006,-28.2,HWM8,8.14.19,M,34.2,C57BL/6,no,1,normal
1007,2.32,HWM8,8.14.19,M,34.2,C57BL/6,no,1,normal
1008,3.81,HWM8,8.14.19,M,34.2,C57BL/6,no,1,normal
1009,4.48,HWM8,8.14.19,M,34.2,C57BL/6,no,1,normal
1010,4.4,HWM8,8.14.19,M,34.2,C57BL/6,no,1,normal
1011,4.24,HWM8,8.14.19,M,34.2,C57BL/6,no,1,normal
