Time,reading,Animal,Date,Sex,BW,Genotype,pain,trial,Housing
1061,11.86,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,1,30 deg
1062,11.77,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,1,30 deg 
1063,11.67,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,1,30 deg
1064,11.65,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,1,30 deg
1065,11.62,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,1,30 deg
1066,11.4,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,1,30 deg
1067,8.27,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,1,30 deg
1068,2.67,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,1,30 deg
1069,-2.55,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,1,30 deg
1070,-5.43,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,1,30 deg
1071,2.04,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,1,30 deg
1072,-1.14,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,1,30 deg
1073,-23.78,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,1,30 deg
1074,-7.59,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,1,30 deg
1075,13.08,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,1,30 deg
1076,14.03,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,1,30 deg
1077,14.58,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,1,30 deg
1078,14.88,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,1,30 deg
1079,14.76,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,1,30 deg
1080,14.57,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,1,30 deg
1081,-0.5,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,2,30 deg
1082,-0.65,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,2,30 deg
1083,-0.64,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,2,30 deg
1084,-0.56,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,2,30 deg
1085,-0.45,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,2,30 deg
1086,-0.19,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,2,30 deg
1087,-0.06,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,2,30 deg
1088,-0.22,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,2,30 deg
1089,-0.54,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,2,30 deg
1090,-3.76,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,2,30 deg
1091,-10.51,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,2,30 deg
1092,-26.43,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,2,30 deg
1093,-86.78,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,2,30 deg
1094,-93.82,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,2,30 deg
1095,-11.03,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,2,30 deg
1096,3.78,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,2,30 deg
1097,3.36,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,2,30 deg
1098,3.08,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,2,30 deg
1099,2.93,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,2,30 deg
1100,2.7,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,2,30 deg
1101,2.49,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,2,30 deg
1102,2.34,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,2,30 deg
1103,-0.17,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,3,30 deg
1104,-0.28,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,3,30 deg
1105,-0.29,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,3,30 deg
1106,-0.34,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,3,30 deg
1107,-0.33,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,3,30 deg
1108,-0.2,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,3,30 deg
1109,-0.04,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,3,30 deg
1110,0.03,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,3,30 deg
1111,0.12,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,3,30 deg
1112,0.06,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,3,30 deg
1113,-0.21,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,3,30 deg
1114,-0.43,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,3,30 deg
1115,-0.53,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,3,30 deg
1116,-2.4,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,3,30 deg
1117,-13.12,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,3,30 deg
1118,-32.74,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,3,30 deg
1119,-68.2,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,3,30 deg
1120,-30.63,HWM9,8.15.19,M,27.0,C57BL/6 lpin1+/-,no,3,30 deg
