Time,reading,Animal,Date,Sex,BW,Genotype,pain,trial,Housing
170,2.33,LVM2,11.7.19,M,31.8,C57BL/6,no,1,normal
171,2.26,LVM2,11.7.19,M,31.8,C57BL/6,no,1,normal
172,2.19,LVM2,11.7.19,M,31.8,C57BL/6,no,1,normal
173,2.09,LVM2,11.7.19,M,31.8,C57BL/6,no,1,normal
174,2.01,LVM2,11.7.19,M,31.8,C57BL/6,no,1,normal
175,1.91,LVM2,11.7.19,M,31.8,C57BL/6,no,1,normal
176,1.82,LVM2,11.7.19,M,31.8,C57BL/6,no,1,normal
177,1.73,LVM2,11.7.19,M,31.8,C57BL/6,no,1,normal
178,0.61,LVM2,11.7.19,M,31.8,C57BL/6,no,1,normal
179,-5.17,LVM2,11.7.19,M,31.8,C57BL/6,no,1,normal
180,-19.33,LVM2,11.7.19,M,31.8,C57BL/6,no,1,normal
181,-38.63,LVM2,11.7.19,M,31.8,C57BL/6,no,1,normal
182,-39.58,LVM2,11.7.19,M,31.8,C57BL/6,no,1,normal
183,-31.52,LVM2,11.7.19,M,31.8,C57BL/6,no,1,normal
184,-21.42,LVM2,11.7.19,M,31.8,C57BL/6,no,1,normal
185,-14.03,LVM2,11.7.19,M,31.8,C57BL/6,no,1,normal
186,-10.06,LVM2,11.7.19,M,31.8,C57BL/6,no,1,normal
187,-13.54,LVM2,11.7.19,M,31.8,C57BL/6,no,1,normal
188,-33.75,LVM2,11.7.19,M,31.8,C57BL/6,no,1,normal
189,-41.75,LVM2,11.7.19,M,31.8,C57BL/6,no,1,normal
190,-4.12,LVM2,11.7.19,M,31.8,C57BL/6,no,1,normal
191,4.66,LVM2,11.7.19,M,31.8,C57BL/6,no,1,normal
192,3.9,LVM2,11.7.19,M,31.8,C57BL/6,no,1,normal
193,-0.67,LVM2,11.7.19,M,31.8,C57BL/6,no,2,normal
194,1.16,LVM2,11.7.19,M,31.8,C57BL/6,no,2,normal
195,2.06,LVM2,11.7.19,M,31.8,C57BL/6,no,2,normal
196,2.1,LVM2,11.7.19,M,31.8,C57BL/6,no,2,normal
197,1.83,LVM2,11.7.19,M,31.8,C57BL/6,no,2,normal
198,1.45,LVM2,11.7.19,M,31.8,C57BL/6,no,2,normal
199,0.75,LVM2,11.7.19,M,31.8,C57BL/6,no,2,normal
200,-0.72,LVM2,11.7.19,M,31.8,C57BL/6,no,2,normal
201,-5.19,LVM2,11.7.19,M,31.8,C57BL/6,no,2,normal
202,-17.06,LVM2,11.7.19,M,31.8,C57BL/6,no,2,normal
203,-42.43,LVM2,11.7.19,M,31.8,C57BL/6,no,2,normal
204,-73.04,LVM2,11.7.19,M,31.8,C57BL/6,no,2,normal
205,-48.48,LVM2,11.7.19,M,31.8,C57BL/6,no,2,normal
206,0.31,LVM2,11.7.19,M,31.8,C57BL/6,no,2,normal
207,5.03,LVM2,11.7.19,M,31.8,C57BL/6,no,2,normal
208,4.37,LVM2,11.7.19,M,31.8,C57BL/6,no,2,normal
209,3.67,LVM2,11.7.19,M,31.8,C57BL/6,no,2,normal
210,3.17,LVM2,11.7.19,M,31.8,C57BL/6,no,2,normal
211,3.64,LVM2,11.7.19,M,31.8,C57BL/6,no,3,normal
212,3.48,LVM2,11.7.19,M,31.8,C57BL/6,no,3,normal
213,3.31,LVM2,11.7.19,M,31.8,C57BL/6,no,3,normal
214,3.22,LVM2,11.7.19,M,31.8,C57BL/6,no,3,normal
215,3.22,LVM2,11.7.19,M,31.8,C57BL/6,no,3,normal
216,4.87,LVM2,11.7.19,M,31.8,C57BL/6,no,3,normal
217,3.44,LVM2,11.7.19,M,31.8,C57BL/6,no,3,normal
218,-6.13,LVM2,11.7.19,M,31.8,C57BL/6,no,3,normal
219,-12.43,LVM2,11.7.19,M,31.8,C57BL/6,no,3,normal
220,-21.04,LVM2,11.7.19,M,31.8,C57BL/6,no,3,normal
221,-27.03,LVM2,11.7.19,M,31.8,C57BL/6,no,3,normal
222,-31.37,LVM2,11.7.19,M,31.8,C57BL/6,no,3,normal
223,-36.02,LVM2,11.7.19,M,31.8,C57BL/6,no,3,normal
224,-43.27,LVM2,11.7.19,M,31.8,C57BL/6,no,3,normal
225,-51.0,LVM2,11.7.19,M,31.8,C57BL/6,no,3,normal
226,-49.81,LVM2,11.7.19,M,31.8,C57BL/6,no,3,normal
227,-10.7,LVM2,11.7.19,M,31.8,C57BL/6,no,3,normal
228,6.2,LVM2,11.7.19,M,31.8,C57BL/6,no,3,normal
229,-1.13,LVM2,11.7.19,M,31.8,C57BL/6,no,4,normal
230,-1.19,LVM2,11.7.19,M,31.8,C57BL/6,no,4,normal
231,-1.26,LVM2,11.7.19,M,31.8,C57BL/6,no,4,normal
232,-1.33,LVM2,11.7.19,M,31.8,C57BL/6,no,4,normal
233,-1.68,LVM2,11.7.19,M,31.8,C57BL/6,no,4,normal
234,-7.8,LVM2,11.7.19,M,31.8,C57BL/6,no,4,normal
235,-18.84,LVM2,11.7.19,M,31.8,C57BL/6,no,4,normal
236,-34.68,LVM2,11.7.19,M,31.8,C57BL/6,no,4,normal
237,-58.74,LVM2,11.7.19,M,31.8,C57BL/6,no,4,normal
238,-76.27,LVM2,11.7.19,M,31.8,C57BL/6,no,4,normal
239,-86.53,LVM2,11.7.19,M,31.8,C57BL/6,no,4,normal
240,-103.22,LVM2,11.7.19,M,31.8,C57BL/6,no,4,normal
241,-68.95,LVM2,11.7.19,M,31.8,C57BL/6,no,4,normal
242,-5.08,LVM2,11.7.19,M,31.8,C57BL/6,no,4,normal
243,2.51,LVM2,11.7.19,M,31.8,C57BL/6,no,4,normal
244,1.58,LVM2,11.7.19,M,31.8,C57BL/6,no,4,normal
245,0.88,LVM2,11.7.19,M,31.8,C57BL/6,no,4,normal
246,3.81,LVM2,11.7.19,M,31.8,C57BL/6,no,5,normal
247,3.61,LVM2,11.7.19,M,31.8,C57BL/6,no,5,normal
248,3.48,LVM2,11.7.19,M,31.8,C57BL/6,no,5,normal
249,3.35,LVM2,11.7.19,M,31.8,C57BL/6,no,5,normal
250,3.18,LVM2,11.7.19,M,31.8,C57BL/6,no,5,normal
251,3.11,LVM2,11.7.19,M,31.8,C57BL/6,no,5,normal
252,2.4,LVM2,11.7.19,M,31.8,C57BL/6,no,5,normal
253,-6.85,LVM2,11.7.19,M,31.8,C57BL/6,no,5,normal
254,-23.37,LVM2,11.7.19,M,31.8,C57BL/6,no,5,normal
255,-47.24,LVM2,11.7.19,M,31.8,C57BL/6,no,5,normal
256,-72.93,LVM2,11.7.19,M,31.8,C57BL/6,no,5,normal
257,-101.47,LVM2,11.7.19,M,31.8,C57BL/6,no,5,normal
258,-119.93,LVM2,11.7.19,M,31.8,C57BL/6,no,5,normal
259,-117.8,LVM2,11.7.19,M,31.8,C57BL/6,no,5,normal
260,-123.81,LVM2,11.7.19,M,31.8,C57BL/6,no,5,normal
261,-102.39,LVM2,11.7.19,M,31.8,C57BL/6,no,5,normal
262,-24.51,LVM2,11.7.19,M,31.8,C57BL/6,no,5,normal
263,-2.6,LVM2,11.7.19,M,31.8,C57BL/6,no,5,normal
264,-1.75,LVM2,11.7.19,M,31.8,C57BL/6,no,5,normal
265,-1.35,LVM2,11.7.19,M,31.8,C57BL/6,no,5,normal
266,-2.34,LVM2,11.7.19,M,31.8,C57BL/6,no,6,normal
267,-2.46,LVM2,11.7.19,M,31.8,C57BL/6,no,6,normal
268,-2.5,LVM2,11.7.19,M,31.8,C57BL/6,no,6,normal
269,-2.57,LVM2,11.7.19,M,31.8,C57BL/6,no,6,normal
270,-2.89,LVM2,11.7.19,M,31.8,C57BL/6,no,6,normal
271,-3.09,LVM2,11.7.19,M,31.8,C57BL/6,no,6,normal
272,-3.2,LVM2,11.7.19,M,31.8,C57BL/6,no,6,normal
273,-3.27,LVM2,11.7.19,M,31.8,C57BL/6,no,6,normal
274,-4.27,LVM2,11.7.19,M,31.8,C57BL/6,no,6,normal
275,-8.95,LVM2,11.7.19,M,31.8,C57BL/6,no,6,normal
276,-13.16,LVM2,11.7.19,M,31.8,C57BL/6,no,6,normal
277,-36.14,LVM2,11.7.19,M,31.8,C57BL/6,no,6,normal
278,-76.01,LVM2,11.7.19,M,31.8,C57BL/6,no,6,normal
279,-99.04,LVM2,11.7.19,M,31.8,C57BL/6,no,6,normal
280,-99.89,LVM2,11.7.19,M,31.8,C57BL/6,no,6,normal
281,-87.34,LVM2,11.7.19,M,31.8,C57BL/6,no,6,normal
282,-29.81,LVM2,11.7.19,M,31.8,C57BL/6,no,6,normal
283,3.85,LVM2,11.7.19,M,31.8,C57BL/6,no,6,normal
284,4.82,LVM2,11.7.19,M,31.8,C57BL/6,no,6,normal
285,4.38,LVM2,11.7.19,M,31.8,C57BL/6,no,6,normal
286,4.15,LVM2,11.7.19,M,31.8,C57BL/6,no,6,normal
287,-3.7,LVM2,11.7.19,M,31.8,C57BL/6,no,7,normal
288,-3.73,LVM2,11.7.19,M,31.8,C57BL/6,no,7,normal
289,-3.78,LVM2,11.7.19,M,31.8,C57BL/6,no,7,normal
290,-4.03,LVM2,11.7.19,M,31.8,C57BL/6,no,7,normal
291,-4.44,LVM2,11.7.19,M,31.8,C57BL/6,no,7,normal
292,-4.71,LVM2,11.7.19,M,31.8,C57BL/6,no,7,normal
293,-6.24,LVM2,11.7.19,M,31.8,C57BL/6,no,7,normal
294,-13.14,LVM2,11.7.19,M,31.8,C57BL/6,no,7,normal
295,-27.06,LVM2,11.7.19,M,31.8,C57BL/6,no,7,normal
296,-40.9,LVM2,11.7.19,M,31.8,C57BL/6,no,7,normal
297,-43.24,LVM2,11.7.19,M,31.8,C57BL/6,no,7,normal
298,-46.2,LVM2,11.7.19,M,31.8,C57BL/6,no,7,normal
299,-59.71,LVM2,11.7.19,M,31.8,C57BL/6,no,7,normal
300,-69.02,LVM2,11.7.19,M,31.8,C57BL/6,no,7,normal
301,-64.58,LVM2,11.7.19,M,31.8,C57BL/6,no,7,normal
302,-29.59,LVM2,11.7.19,M,31.8,C57BL/6,no,7,normal
303,-2.71,LVM2,11.7.19,M,31.8,C57BL/6,no,7,normal
304,-1.63,LVM2,11.7.19,M,31.8,C57BL/6,no,7,normal
305,-2.34,LVM2,11.7.19,M,31.8,C57BL/6,no,7,normal
