Time,reading,Animal,Date,Sex,BW,Genotype,pain,trial,Housing
417,1.06,LVM3,11.7.19,M,34.2,C57BL/6,no,7,normal
418,0.91,LVM3,11.7.19,M,34.2,C57BL/6,no,7,normal
419,0.77,LVM3,11.7.19,M,34.2,C57BL/6,no,7,normal
420,0.63,LVM3,11.7.19,M,34.2,C57BL/6,no,7,normal
421,0.54,LVM3,11.7.19,M,34.2,C57BL/6,no,7,normal
422,1.27,LVM3,11.7.19,M,34.2,C57BL/6,no,7,normal
423,-1.1,LVM3,11.7.19,M,34.2,C57BL/6,no,7,normal
424,-8.34,LVM3,11.7.19,M,34.2,C57BL/6,no,7,normal
425,-18.44,LVM3,11.7.19,M,34.2,C57BL/6,no,7,normal
426,-23.58,LVM3,11.7.19,M,34.2,C57BL/6,no,7,normal
427,-28.11,LVM3,11.7.19,M,34.2,C57BL/6,no,7,normal
428,-40.04,LVM3,11.7.19,M,34.2,C57BL/6,no,7,normal
429,-40.95,LVM3,11.7.19,M,34.2,C57BL/6,no,7,normal
430,-5.86,LVM3,11.7.19,M,34.2,C57BL/6,no,7,normal
431,3.94,LVM3,11.7.19,M,34.2,C57BL/6,no,7,normal
432,3.27,LVM3,11.7.19,M,34.2,C57BL/6,no,7,normal
433,2.74,LVM3,11.7.19,M,34.2,C57BL/6,no,7,normal
434,2.34,LVM3,11.7.19,M,34.2,C57BL/6,no,7,normal
