Time,reading,Animal,Date,Sex,BW,Genotype,pain,trial,Housing
450,-1.41,LVM3,11.7.19,M,34.2,C57BL/6,no,9,normal
451,-1.49,LVM3,11.7.19,M,34.2,C57BL/6,no,9,normal
452,-1.52,LVM3,11.7.19,M,34.2,C57BL/6,no,9,normal
453,-1.52,LVM3,11.7.19,M,34.2,C57BL/6,no,9,normal
454,-1.6,LVM3,11.7.19,M,34.2,C57BL/6,no,9,normal
455,-1.75,LVM3,11.7.19,M,34.2,C57BL/6,no,9,normal
456,-2.07,LVM3,11.7.19,M,34.2,C57BL/6,no,9,normal
457,-4.39,LVM3,11.7.19,M,34.2,C57BL/6,no,9,normal
458,-15.8,LVM3,11.7.19,M,34.2,C57BL/6,no,9,normal
459,-43.83,LVM3,11.7.19,M,34.2,C57BL/6,no,9,normal
460,-66.69,LVM3,11.7.19,M,34.2,C57BL/6,no,9,normal
461,-78.63,LVM3,11.7.19,M,34.2,C57BL/6,no,9,normal
462,-62.44,LVM3,11.7.19,M,34.2,C57BL/6,no,9,normal
463,-6.68,LVM3,11.7.19,M,34.2,C57BL/6,no,9,normal
464,1.81,LVM3,11.7.19,M,34.2,C57BL/6,no,9,normal
465,1.14,LVM3,11.7.19,M,34.2,C57BL/6,no,9,normal
466,,LVM3,11.7.19,M,34.2,C57BL/6,no,9,normal
